"url","domain_id","is_objective"
https://nihlibrary.nih.gov,64,true
https://poisonhelp.hrsa.gov,326,true
https://asrs.arc.nasa.gov,150,true
https://findahealthcenter.hrsa.gov,320,true
http://women.smokefree.gov,159,true
https://jobs.utah.gov,309,true
https://earthexplorer.usgs.gov,323,true
https://lgrd.nichd.nih.gov,186,true
https://acquisitions.jpl.nasa.gov,206,true
https://nssdc.gsfc.nasa.gov,176,true
http://www.ncdoj.gov,379,true
https://mepag.jpl.nasa.gov,149,true
https://rrc01.aide.oit.va.gov,399,true
https://wordpress.cels.anl.gov,327,true
https://dcvdi.fcc.gov,15,true
https://gadsden.jobcorps.gov,204,true
https://sanantonio.fbi.gov,456,true
https://semanticmedline.nlm.nih.gov,311,true
https://cmm.nci.nih.gov,76,true
https://dev2.edit.cms.gov,318,true
https://specialreports.fcc.gov,392,true
https://galileo.jpl.nasa.gov,122,true
https://cohoweb.gsfc.nasa.gov,398,true
https://fincen105.cbp.dhs.gov,483,true
https://www.pretrialservices.gov,386,true
https://siss.fincen.gov,359,true
https://mipav.cit.nih.gov,351,true
https://dtts.ors.od.nih.gov,269,true
https://gearup.ed.gov,59,true
https://medpix.nlm.nih.gov,190,true
https://bcgcfm5.ncifcrf.gov,106,true
https://pareviews.state.gov,43,true
https://servicedesk.gsa.gov,491,true
https://usaxs.xray.aps.anl.gov,266,true
https://atlanta.va.gov,303,true
https://ldas.gsfc.nasa.gov,438,true
https://bls.gov,446,true
https://files-broker.usaspending.gov,384,true
https://offcycle.edit.cms.gov,307,true
https://nek.ksc.nasa.gov,298,true
https://support.nigc.gov,257,true
https://otp.nwave.noaa.gov,482,true
https://visac.ornl.gov,98,true
https://samsinfo.lbl.gov,63,true
https://pnwpcn0108.care.va.gov,173,true
https://tatn1pnatest2-taapsprod.treasuryauction.gov,71,true
https://tenable.nga.gov,381,true
https://apply.pmf.gov,260,true
https://t-origin.cdc.gov,77,true
https://onthemap.ces.census.gov,466,true
https://perfstaging.irs.gov,134,true
https://finchhenry.jobcorps.gov,169,true
https://bis.data.commerce.gov,73,true
https://testint.fleta.gov,481,true
https://pnspcn0109.care.va.gov,489,true
https://wi.water.usgs.gov,31,true
https://uncertainty.nist.gov,272,true
https://weeklywire.nsf.gov,165,true
https://gs6102dsc-goldsmr5.gesdisc.eosdis.nasa.gov,443,true
https://ftp.coast.noaa.gov,211,true
https://www-airsea.jpl.nasa.gov,375,true
https://vinrcl.safercar.gov,147,true
https://pst.pppl.gov,92,true
https://trn.myeddebt.ed.gov,72,true
https://cloud-west-mobile.fws.gov,408,true
https://lep-pds.gsfc.nasa.gov,235,true
https://weather.gov/ http:/www.cpc.ncep.noaa.gov/products/ https:/radar.weather.gov,67,true
https://napa.ncjrs.gov,17,true
https://2016.bbg.gov,460,true
http://far.nbii.gov,388,true
https://www.lib.noaa.gov,36,true
https://www.njsecurities.gov,442,true
https://wwwnc.usgs.gov,229,true
https://www.rn.ca.gov,19,true
https://testmd.orr.noaa.gov,347,true
https://beta-owi.usgs.gov,33,true
https://tm.pre.usembassy.gov,234,true
https://t.cdc.gov,164,true
https://portal.phmsa.dot.gov,146,true
https://www.mymedicare.gov,412,true
https://www.Medicaid.gov,284,true
https://www.vaforvets.va.gov,265,true
http://www.pa.gov,455,true
http://www.ojjdp.gov,91,true
https://espa.cr.usgs.gov,171,true
https://alpha.sam.gov,255,true
https://epixforum2.cdc.gov,378,true
https://courses.america.gov,315,true
https://1940census.archives.gov,325,true
https://earlecclements.jobcorps.gov,350,true
https://dev2.edit.medicare.gov,100,true
https://jag.cami.jccbi.gov,140,true
https://tes-sfa.ornl.gov,180,true
https://regulations.doe.gov,477,true
https://fedtalent4.ibc.doi.gov,306,true
